이름,이메일,성별,나이,생년월일,주소,관심등록,관심등록일자,시청일자,재생시간,영상길이,카테고리,장르,제목,평점
홍길동,2****@daum.net,남,20세,2000년 05월,울산광역시 서대문구,T,2019-11-28,2017-06-16,4.78,120.38,영화,멜로/로맨스,착한 자매들 무삭제판,4.5
황진이,9********@naver.com,여,50세,1960년 08월,광주광역시 서초구,F,,2018-09-23,149.34,164.29,드라마,멜로/로맨스,새엄마,4.5
이몽룡,j**********@naver.com,남,10세,2000년 08월,서울특별시 강북구,T,2020-05-21,2020-06-27,98.07,125.54,영화,멜로/로맨스,젊은 엄마 친구 2,3.0
홍길동,6*******@daum.net,남,30세,1990년 05월,제주특별자치도 공주시,T,2020-02-14,2017-09-01,74.21,154.88,드라마,멜로/로맨스,맛있는 택배,3.0
장길산,0******************@gmail.com,남,50세,1970년 09월,경상북도 과천시,F,,2019-11-21,16.89,110.02,드라마,다큐멘터리,나는 고양이로소이다,0.5
성춘향,j**********@naver.com,여,80세,1940년 08월,충청북도 인제군,F,,2021-12-08,41.03,90.42,드라마,멜로/로맨스,이웃동서,4.0
홍길동,z****@naver.com,남,20세,2000년 07월,대전광역시 구로구,T,2018-02-10,2017-01-03,150.94,166.11,영화,멜로/로맨스,새엄마는에로배우,4.5
황진이,l*************@hotmail.com,여,80세,1940년 10월,울산광역시 동구,F,,2021-10-19,78.79,151.48,드라마,애니메이션,지구대표 롤링스타즈,4.0
임꺽정,v***************@hotmail.com,남,20세,1990년 06월,대구광역시 서구,F,,2017-09-25,91.47,158.98,영화,코미디,아이 캔 스피크,4.5
황진이,t**************@daum.net,여,50세,1960년 01월,경상남도 부천시,F,,2021-05-31,112.16,123.51,영화,"드라마,사극",길,4.5
한석봉,_****************@naver.com,남,10세,2010년 04월,대전광역시 은평구,T,2018-08-20,2017-01-02,109.4,147.17,영화,드라마,잘세우는 여친,1.0
장길산,w******************@hotmail.com,남,40세,1970년 11월,세종특별자치시 중구,F,,2020-04-05,82.18,141.86,영화,성인물(에로),달콤한 처제,3.5
한석봉,3***************@gmail.com,남,60세,1950년 03월,대구광역시 은평구,F,,2021-10-13,73.89,151.78,영화,멜로/로맨스,어린 이모,2.5
장희빈,2********@naver.com,여,20세,1990년 09월,서울특별시 서대문구,F,,2019-09-27,31.62,145.26,영화,다큐멘터리,"그날, 바다",3.5
신사임당,8*********@gmail.com,여,10세,2000년 10월,충청북도 삼척시,F,,2020-09-20,105.33,159.31,드라마,"다큐멘터리,드라마",밥정,5.0
임꺽정,r**********@naver.com,남,70세,1950년 07월,경상북도 구리시,T,2018-04-02,2018-09-20,38.67,105.28,드라마,"멜로/로맨스,드라마",비치하트애솔,2.5
허난설헌,w***********@gmail.com,여,60세,1950년 01월,광주광역시 광진구,T,2017-07-22,2017-09-16,10.4,175.06,드라마,멜로/로맨스,스와핑 : 완벽한 이웃,1.5
홍길동,k********@gmail.com,남,70세,1950년 08월,대구광역시 구로구,F,,2019-12-05,3.64,106.21,드라마,애니메이션,마리이야기,1.0
한석봉,e*****@daum.net,남,40세,1970년 03월,제주특별자치도 안양시,F,,2021-09-21,51.54,116.71,영화,"드라마,멜로/로맨스",잘 알지도 못하면서,3.5
성춘향,1************@gmail.com,여,50세,1970년 09월,세종특별자치시 동작구,T,2021-11-19,2017-02-11,82.85,123.5,드라마,드라마,풀잎들,5.0
성춘향,j****************@gmail.com,여,10세,2010년 03월,경상남도 평창군,T,2019-09-20,2017-04-11,100.1,142.2,영화,멜로/로맨스,친구엄마 : 섹스 하던 날 무삭제,2.5
성춘향,y************@gmail.com,여,30세,1990년 10월,대전광역시 마포구,T,2018-01-29,2020-12-08,13.15,166.14,영화,코미디,머피와 샐리의 법칙,1.0
장희빈,_********@naver.com,여,80세,1930년 12월,경상북도 속초시,F,,2020-04-03,58.95,93.96,드라마,멜로/로맨스,물좋은하숙집2-무삭제,2.5
황진이,d****@gmail.com,여,50세,1960년 12월,대구광역시 성북구,F,,2020-06-02,64.14,175.02,드라마,"코미디,드라마",7번방의 선물,4.5
한석봉,q******@gmail.com,남,40세,1970년 06월,충청남도 수원시,F,,2019-02-22,51.03,171.29,드라마,"성인물(에로),멜로/로맨스",사촌동생들 무삭제판,1.5
장길산,8******************@hotmail.com,남,80세,1930년 11월,부산광역시 남구,T,2020-02-11,2017-05-26,36.75,93.23,영화,드라마,크루아상,4.5
허난설헌,n*************@gmail.com,여,70세,1940년 09월,대전광역시 서대문구,T,2020-10-28,2019-02-05,146.12,160.62,영화,멜로/로맨스,조건아빠: 슈가대디,2.5
장길산,s*********@daum.net,남,30세,1980년 10월,충청북도 수원시,T,2019-05-17,2017-03-06,120.36,127.15,영화,"드라마,전쟁",오빠생각,3.5
홍길동,c*********@gmail.com,남,50세,1960년 04월,부산광역시 동대문구,T,2018-09-13,2019-11-06,22.66,129.71,영화,"공포(호러),멜로/로맨스,코미디",귀신의 향기,4.5
홍길동,8****@gmail.com,남,30세,1980년 10월,제주특별자치도 이천시,F,,2020-01-31,98.88,163.47,영화,다큐멘터리,학교 가는 길,3.5
장길산,z*********@naver.com,남,30세,1990년 10월,울산광역시 강북구,T,2021-11-20,2021-12-22,11.64,138.83,드라마,액션,청풍명월(淸風明月),5.0
황진이,b**********@hotmail.com,여,40세,1980년 04월,대전광역시 관악구,F,,2021-06-05,35.28,158.85,영화,멜로/로맨스,새엄마 2: 그녀의 남자가 되다,3.0
신사임당,2******@gmail.com,여,80세,1930년 06월,대구광역시 서구,F,,2020-08-01,25.94,97.87,드라마,드라마,미국인친구,2.5
장희빈,f******@naver.com,여,10세,2000년 09월,전라북도 서천군,T,2017-06-13,2017-11-18,90.3,101.02,영화,다큐멘터리,꿈의 공장,3.0
임꺽정,q******@naver.com,남,80세,1940년 11월,경상남도 이천시,F,,2020-11-09,89.46,111.56,영화,다큐멘터리,할머니의 먼 집,2.5
신사임당,s**********@naver.com,여,30세,1980년 01월,인천광역시 동대문구,T,2017-09-02,2021-07-16,49.11,157.3,드라마,스릴러,불청객 - 반가운 손님,1.0
신사임당,j****************@gmail.com,여,30세,1980년 11월,인천광역시 광진구,T,2021-02-08,2021-11-23,153.43,172.99,영화,"멜로/로맨스,드라마",은밀한 여작가의 사생활 ,1.0
신사임당,5*****************@hotmail.com,여,20세,2000년 01월,경기도 예산군,F,,2018-09-12,119.55,122.1,드라마,"SF,드라마",구직자들,1.5
허난설헌,i********@gmail.com,여,50세,1960년 03월,제주특별자치도 화성시,F,,2019-12-18,120.18,165.01,영화,"가족,드라마",담쟁이,0.5
성춘향,_******************@naver.com,여,70세,1940년 08월,인천광역시 강북구,F,,2021-02-12,40.02,127.05,영화,"애니메이션,가족,어드벤처",고녀석 맛나겠다2 : 함께라서 행복해,4.5
임꺽정,a***********@naver.com,남,60세,1950년 02월,인천광역시 성북구,F,,2019-06-26,140.21,161.52,영화,다큐멘터리,나쁜 나라,2.5
장희빈,9*************@hotmail.com,여,70세,1950년 08월,강원도 수원시,F,,2019-06-10,24.25,104.22,드라마,멜로/로맨스,섹스남녀 : 우린 속 궁합이 잘 맞아 무삭제,0.5
허난설헌,t***************@daum.net,여,40세,1980년 10월,서울특별시 서구,F,,2019-11-13,84.6,129.27,영화,"액션,스릴러",동네사람들,0.5
황진이,6***********@naver.com,여,70세,1940년 10월,충청남도 영월군,F,,2020-09-27,74.37,126.32,드라마,드라마,여교사,2.5
이몽룡,p******************@hotmail.com,남,70세,1940년 06월,강원도 예산군,F,,2020-11-20,126.08,145.23,드라마,"멜로/로맨스,코미디",극적인 하룻밤,2.0
이몽룡,m****@gmail.com,남,60세,1950년 06월,부산광역시 동작구,F,,2019-11-14,44.79,95.25,영화,드라마,수취인불명,2.5
이몽룡,m****************@hotmail.com,남,40세,1970년 07월,제주특별자치도 수원시,F,,2018-09-12,12.39,151.87,영화,멜로/로맨스,내 형의 아내 무삭제판,1.5
한석봉,j*********@gmail.com,남,40세,1970년 11월,제주특별자치도 천안시,T,2019-04-25,2017-10-11,21.89,99.03,영화,애니메이션,언더독,2.0
홍길동,o******@naver.com,남,40세,1970년 12월,서울특별시 광진구,T,2017-08-23,2021-07-25,23.92,90.5,영화,코미디,숫호구,3.0
한석봉,z*******@daum.net,남,60세,1950년 06월,대전광역시 서구,T,2021-04-03,2019-01-26,149.36,169.49,영화,멜로/로맨스,내 이웃의 아내 3,3.0
한석봉,x*******@daum.net,남,60세,1950년 05월,전라남도 안양시,F,,2020-04-03,2.88,143.39,영화,멜로/로맨스,팬티하우스 2,3.0
장길산,r*******************@naver.com,남,40세,1980년 01월,강원도 부천시,F,,2017-11-07,30.78,174.04,영화,"멜로/로맨스,코미디",밤의 여왕,1.0
홍길동,q*******@daum.net,남,70세,1940년 04월,충청북도 음성군,T,2019-11-05,2021-08-27,41.29,159.7,드라마,"멜로/로맨스,드라마",어린 여동생,1.5
한석봉,9*******@daum.net,남,50세,1970년 07월,경상북도 의왕시,T,2019-11-22,2019-10-26,33.84,94.43,드라마,공포(호러),죽음의 숲-어느날 갑자기 네번째 이야기,4.0
장길산,y******************@gmail.com,남,60세,1950년 09월,인천광역시 종로구,F,,2018-09-06,142.02,156.59,드라마,멜로/로맨스,형부와 처제,3.0
장길산,z************@hotmail.com,남,70세,1940년 12월,충청북도 삼척시,T,2017-08-14,2019-03-21,107.27,138.96,영화,"애니메이션,스릴러",돼지의 왕,2.0
임꺽정,s************@gmail.com,남,60세,1950년 10월,강원도 광명시,T,2017-05-15,2021-10-17,142.33,158.45,영화,멜로/로맨스,어우동: 주인 없는 꽃,3.0
한석봉,x**********@hotmail.com,남,50세,1960년 09월,대전광역시 강북구,F,,2017-04-01,95.87,130.95,영화,"멜로/로맨스,드라마",핫바디 처제 무삭제판,3.0
황진이,y**************@hotmail.com,여,80세,1930년 04월,강원도 인제군,F,,2020-02-22,83.24,95.99,영화,"코미디,멜로/로맨스",워킹걸,1.0
임꺽정,u******@hotmail.com,남,80세,1940년 09월,인천광역시 북구,F,,2017-12-09,158.1,163.56,드라마,코미디,미스체인지,3.0
임꺽정,a*******@gmail.com,남,30세,1990년 02월,울산광역시 마포구,F,,2020-02-16,108.37,129.71,드라마,멜로/로맨스,잠 못 이루는 섹스,2.0
장길산,i************@naver.com,남,80세,1930년 11월,인천광역시 동작구,F,,2021-07-23,159.08,163.78,영화,"코미디,공포(호러)",점쟁이들,2.5
황진이,y*****@daum.net,여,30세,1980년 02월,경상북도 안양시,F,,2017-09-18,90.81,138.05,드라마,멜로/로맨스,엄마의 맛,5.0
한석봉,a******************@gmail.com,남,50세,1970년 08월,대구광역시 서초구,F,,2017-06-16,123.79,152.95,드라마,"드라마,멜로/로맨스",여덟 번의 감정,1.0
장길산,b*******************@naver.com,남,60세,1950년 05월,인천광역시 강동구,T,2021-04-12,2018-06-24,37.65,172.84,영화,멜로/로맨스,여친 언니 2,3.0
신사임당,6************@daum.net,여,60세,1950년 08월,전라북도 횡성군,F,,2019-08-12,105.71,112.03,영화,멜로/로맨스,장모님들의 사랑,0.5
장길산,_*******@hotmail.com,남,20세,1990년 04월,광주광역시 중랑구,T,2021-09-23,2017-01-19,89.9,90.85,드라마,"멜로/로맨스,드라마",고시원,1.5
황진이,u*************@daum.net,여,70세,1940년 08월,경상남도 보은군,F,,2017-05-06,83.13,95.91,영화,멜로/로맨스,예쁜 며느리,4.5
장희빈,f*************@daum.net,여,50세,1970년 10월,충청북도 보은군,F,,2020-09-17,2.04,148.87,드라마,드라마,파도치는 땅,3.5
한석봉,a***********@naver.com,남,80세,1940년 09월,인천광역시 금천구,F,,2018-02-07,45.14,90.95,드라마,멜로/로맨스,내 학생의 엄마 3,3.0
장희빈,x********@gmail.com,여,60세,1950년 11월,울산광역시 노원구,F,,2018-07-16,65.89,161.93,영화,액션,조폭마누라2-돌아온 전설,3.5
한석봉,3***********@naver.com,남,60세,1950년 04월,경상남도 삼척시,T,2021-02-03,2020-09-09,105.9,113.7,드라마,"드라마,코미디",수성못,3.0
한석봉,j**********@hotmail.com,남,20세,2000년 06월,전라남도 의왕시,F,,2018-02-16,109.51,159.23,드라마,"드라마,코미디",어서오시게스트하우스,4.0
허난설헌,h****************@hotmail.com,여,90세,1930년 07월,울산광역시 관악구,F,,2019-11-09,77.01,173.94,영화,코미디,마을금고 연쇄습격사건,0.5
황진이,w************@gmail.com,여,70세,1940년 11월,인천광역시 강북구,T,2017-12-06,2021-10-09,9.18,112.4,드라마,"멜로/로맨스,코미디",도도녀 길들이기 ,1.5
임꺽정,r*******@gmail.com,남,80세,1940년 02월,서울특별시 동작구,F,,2018-03-31,96.51,123.42,영화,멜로/로맨스,가슴 큰 뒷집소녀,4.5
장희빈,_*******************@gmail.com,여,60세,1950년 04월,전라남도 군포시,T,2018-01-10,2018-03-06,163.43,175.76,영화,드라마,대전 블루스,3.0
홍길동,5*****@gmail.com,남,20세,1990년 09월,경상북도 고양시,F,,2020-12-30,3.02,109.16,드라마,"멜로/로맨스,드라마",연리지,3.5
장희빈,t*****@daum.net,여,10세,2010년 07월,세종특별자치시 서대문구,F,,2021-06-28,94.33,133.5,드라마,"드라마,멜로/로맨스",남의 아내,3.0
장길산,_***********@daum.net,남,70세,1940년 03월,세종특별자치시 금천구,F,,2017-04-13,115.55,147.8,드라마,"멜로/로맨스,드라마",파라다이스 인 푸켓:여대생의 맛,3.0
허난설헌,u*****************@hotmail.com,여,20세,1990년 07월,대전광역시 송파구,T,2018-03-20,2020-03-06,120.46,146.7,영화,멜로/로맨스,욕망 : 친구의 아내,4.5
신사임당,m**********@naver.com,여,70세,1950년 11월,광주광역시 성동구,T,2017-05-14,2021-11-03,26.61,115.96,드라마,기타,잊지 않았어요,0.5
이몽룡,c***********@naver.com,남,30세,1980년 09월,전라남도 안양시,F,,2021-02-28,53.61,134.34,영화,애니메이션,"안녕, 티라노: 영원히, 함께",2.0
임꺽정,g**********@daum.net,남,30세,1980년 06월,제주특별자치도 서천군,T,2019-11-14,2018-09-10,0.29,90.03,드라마,"멜로/로맨스,코미디",Mr.로빈 꼬시기,3.5
임꺽정,i**************@naver.com,남,10세,2000년 01월,대전광역시 노원구,F,,2018-04-03,49.83,162.26,드라마,성인물(에로),모델 박아라 감독판,1.0
장길산,4***************@daum.net,남,80세,1940년 05월,세종특별자치시 북구,F,,2021-04-25,91.72,129.57,드라마,"드라마,스릴러,미스터리,범죄,가족",개 같은 것들,2.0
황진이,0*****************@daum.net,여,10세,2010년 04월,부산광역시 노원구,T,2021-06-06,2020-09-26,100.71,137.95,영화,다큐멘터리,망원동 인공위성,3.5
신사임당,e****@naver.com,여,30세,1980년 01월,울산광역시 구로구,T,2020-10-17,2018-06-03,55.4,95.93,영화,드라마,구해줘! 원나잇,2.0
장길산,7*****@daum.net,남,10세,2010년 10월,제주특별자치도 김포시,F,,2020-06-20,71.15,166.97,영화,애니메이션,점박이 한반도의 공룡2 : 새로운 낙원,4.0
허난설헌,v******************@hotmail.com,여,30세,1980년 05월,제주특별자치도 고양시,T,2018-09-04,2017-04-08,92.14,142.96,영화,멜로/로맨스,완벽한 스와핑2,3.5
허난설헌,c**************@naver.com,여,50세,1970년 12월,인천광역시 중랑구,F,,2018-09-16,4.23,144.41,영화,"범죄,액션",신의 한 수: 귀수편,2.0
한석봉,y*************@naver.com,남,70세,1940년 08월,대구광역시 관악구,F,,2018-11-16,51.32,157.49,드라마,멜로/로맨스,어린장모2-무삭제,4.5
한석봉,7********@naver.com,남,30세,1980년 06월,경상남도 부천시,F,,2019-12-20,116.87,122.69,드라마,드라마,똥개,4.5
한석봉,-******************@hotmail.com,남,30세,1990년 03월,전라남도 서천군,F,,2020-02-07,8.67,146.72,영화,드라마,맛있는 섹스 그리고 여군 무삭제,4.0
성춘향,e****************@hotmail.com,여,70세,1940년 08월,인천광역시 중구,T,2018-02-23,2017-08-16,36.08,124.68,영화,성인물(에로),스와핑 부부,5.0
이몽룡,r*********@daum.net,남,10세,2000년 05월,인천광역시 금천구,T,2021-08-22,2019-04-29,159.4,162.95,드라마,"드라마,멜로/로맨스",사요나라 이츠카,0.5
임꺽정,c**************@naver.com,남,70세,1950년 03월,광주광역시 강서구,T,2020-11-21,2019-06-25,125.09,177.2,영화,멜로/로맨스,맛 2016: 삼시색기,4.5
허난설헌,h********@gmail.com,여,60세,1960년 03월,대전광역시 동구,F,,2017-01-07,53.44,90.14,드라마,멜로/로맨스,막내 처제,0.5
임꺽정,u************@daum.net,남,10세,2000년 02월,대구광역시 노원구,T,2020-09-23,2020-07-29,45.92,135.56,영화,멜로/로맨스,정사 : 자매의 유혹 무삭제,3.0
황진이,1********@hotmail.com,여,60세,1950년 09월,경상남도 금산군,T,2020-04-16,2017-11-26,36.87,169.23,영화,애니메이션,클라이밍,1.0
장희빈,i***************@gmail.com,여,60세,1960년 01월,제주특별자치도 진천군,T,2019-11-13,2021-07-27,21.05,135.27,영화,"드라마,멜로/로맨스",사요나라 이츠카,2.5
허난설헌,d****@gmail.com,여,40세,1980년 05월,경상북도 광명시,T,2021-12-26,2021-07-12,149.41,158.76,영화,멜로/로맨스,스와핑 : 내 아내의 친구 무삭제,4.0
신사임당,7***************@hotmail.com,여,10세,2000년 09월,대전광역시 영등포구,T,2020-12-21,2018-05-04,56.8,105.63,드라마,"범죄,액션",기술자들,3.0
홍길동,r**********@daum.net,남,30세,1980년 03월,대구광역시 동대문구,T,2019-06-25,2018-04-10,89.47,131.18,영화,멜로/로맨스,형님 아내 2 - 사모님과 경호원 - 감독판,1.0
황진이,u*******@hotmail.com,여,60세,1960년 05월,경기도 의정부시,T,2019-11-10,2021-04-17,18.76,115.57,영화,멜로/로맨스,소희의은근히꼴리는사생활-무삭제,2.5
이몽룡,8*************@hotmail.com,남,10세,2010년 01월,울산광역시 북구,T,2020-04-27,2019-07-08,37.11,109.34,드라마,"스릴러,드라마",공범,0.5
장길산,b********@naver.com,남,40세,1970년 04월,인천광역시 종로구,F,,2020-02-08,47.13,116.07,드라마,다큐멘터리,B급 며느리,2.0
성춘향,u******************@daum.net,여,30세,1980년 04월,충청남도 시흥시,T,2021-03-02,2018-10-21,40.02,161.88,드라마,성인물(에로),고급창녀,3.0
황진이,q****************@hotmail.com,여,30세,1980년 02월,울산광역시 마포구,T,2021-11-02,2020-08-03,12.18,141.75,영화,다큐멘터리,I AM,0.5
신사임당,l*****@naver.com,여,30세,1980년 04월,전라북도 동두천시,F,,2017-03-08,18.75,177.97,드라마,"코미디,액션,범죄",유감스러운 도시,4.5
이몽룡,s*************@gmail.com,남,60세,1950년 12월,강원도 금산군,T,2020-11-07,2021-11-19,8.98,108.13,드라마,드라마,세번째 시선,5.0
홍길동,q*****@gmail.com,남,60세,1950년 01월,경상북도 안성시,F,,2020-12-15,101.96,135.73,드라마,"코미디,범죄",탐정: 리턴즈,4.5
장희빈,p****@naver.com,여,80세,1930년 08월,전라남도 양주시,F,,2019-12-31,82.55,131.63,드라마,멜로/로맨스,애원하는 유부녀 무삭제,3.0
허난설헌,l******************@hotmail.com,여,60세,1960년 03월,대전광역시 노원구,T,2019-02-13,2018-08-04,34.65,135.49,영화,"멜로/로맨스,드라마",친구 여동생,0.5
장길산,d*******@daum.net,남,70세,1940년 09월,경상북도 철원군,T,2017-08-25,2018-07-27,86.21,102.29,영화,"멜로/로맨스,드라마",에로여비서:끝내주는 미스 정,3.0
홍길동,a***********@hotmail.com,남,10세,2000년 08월,광주광역시 종로구,T,2018-04-02,2018-04-20,8.52,116.27,영화,"드라마,범죄",나쁜 놈이 더 잘 잔다,3.0
장희빈,a************@daum.net,여,10세,2000년 05월,충청북도 서산시,T,2019-08-05,2017-06-20,37.27,139.12,영화,드라마,오래된 정원,1.5
황진이,l*********@gmail.com,여,80세,1930년 04월,인천광역시 양천구,F,,2018-07-08,121.65,152.0,영화,드라마,크루아상,3.5
장희빈,u*******************@daum.net,여,50세,1970년 07월,경상남도 남양주시,T,2019-09-03,2020-06-05,101.09,135.1,드라마,다큐멘터리,테이크 미 홈,0.5
이몽룡,t**********@hotmail.com,남,40세,1970년 10월,부산광역시 영등포구,T,2019-12-13,2020-06-21,6.47,134.47,영화,스릴러,90분,4.5
임꺽정,b****@naver.com,남,80세,1930년 06월,경상남도 여주시,T,2020-04-16,2019-06-26,69.3,103.8,드라마,멜로/로맨스,19금 섹스비디오,0.5
성춘향,h*****************@naver.com,여,20세,1990년 03월,서울특별시 중랑구,F,,2020-05-10,14.6,145.58,드라마,멜로/로맨스,착한 형수 5,5.0
허난설헌,q*******************@gmail.com,여,20세,2000년 02월,광주광역시 성동구,F,,2021-02-06,42.99,92.43,드라마,드라마,더스트맨,2.0
성춘향,4*******@gmail.com,여,80세,1930년 06월,인천광역시 은평구,T,2017-06-02,2021-10-21,141.74,175.7,드라마,멜로/로맨스,정사 : 캠퍼스 커플,2.5
황진이,e******************@naver.com,여,70세,1940년 04월,전라남도 하남시,F,,2017-05-10,50.24,158.05,영화,다큐멘터리,피의 연대기,3.0
황진이,u****************@naver.com,여,50세,1970년 03월,경상북도 서천군,F,,2017-06-06,10.2,178.08,드라마,멜로/로맨스,그날의 분위기,1.0
임꺽정,u*******************@hotmail.com,남,20세,1990년 06월,경기도 충주시,T,2019-10-14,2021-04-27,120.16,134.49,드라마,"드라마,액션",전설의 주먹,1.5
장길산,x*******************@gmail.com,남,60세,1950년 03월,부산광역시 구로구,F,,2021-09-20,14.37,121.61,드라마,"코미디,멜로/로맨스",사토미를 찾아라,5.0
신사임당,6******************@naver.com,여,70세,1940년 09월,충청북도 청주시,T,2019-08-18,2018-12-05,29.18,115.79,영화,다큐멘터리,인플루언서,3.5
이몽룡,-*************@daum.net,남,80세,1940년 05월,경상남도 속초시,F,,2019-04-27,98.58,149.99,영화,멜로/로맨스,불륜 동창회 2 무삭제,2.5
이몽룡,h***********@hotmail.com,남,30세,1990년 05월,세종특별자치시 종로구,F,,2018-01-07,63.57,130.43,영화,"멜로/로맨스,드라마",내 학생의 엄마 5 무삭제,2.0
장길산,1************@gmail.com,남,60세,1950년 12월,서울특별시 영등포구,F,,2017-07-08,71.33,108.4,드라마,"범죄,드라마",마약왕,3.0
허난설헌,g****************@naver.com,여,70세,1940년 11월,경상북도 동두천시,F,,2020-03-20,13.24,135.68,드라마,"스릴러,액션",발신제한,1.5
장길산,7***************@hotmail.com,남,50세,1960년 11월,서울특별시 강남구,T,2021-03-19,2017-08-22,9.17,162.11,드라마,범죄,원라인,1.5
한석봉,s****@naver.com,남,20세,1990년 05월,부산광역시 강북구,T,2021-03-20,2021-09-19,93.93,162.58,영화,멜로/로맨스,정사 : 질투의 덫 - 감독판,4.0
성춘향,8******@gmail.com,여,80세,1930년 03월,충청남도 철원군,T,2018-03-01,2018-08-05,4.03,92.68,드라마,성인물(에로),오빠는 음식은 가려도 여자는 안가려 무삭제,3.0
신사임당,f*****@hotmail.com,여,20세,2000년 06월,부산광역시 송파구,T,2021-03-11,2020-05-07,40.95,152.26,드라마,드라마,괜찮아 울지마,1.0
이몽룡,5*******@gmail.com,남,40세,1970년 08월,서울특별시 용산구,F,,2019-06-27,60.46,126.94,영화,성인물(에로),도련님의 물건,1.0
임꺽정,6***************@hotmail.com,남,30세,1980년 01월,대구광역시 북구,F,,2020-08-08,97.35,147.31,영화,성인물(에로),살맛,1.0
성춘향,0************@daum.net,여,80세,1930년 10월,대구광역시 영등포구,F,,2021-06-28,17.41,124.6,영화,성인물(에로),스와핑 동창회,1.5
성춘향,i******@naver.com,여,30세,1980년 12월,부산광역시 동대문구,F,,2020-06-01,97.14,123.85,드라마,애니메이션,파워배틀 와치카: 와치가면의 역습,0.5
이몽룡,q********@daum.net,남,80세,1930년 03월,대전광역시 강북구,F,,2021-12-16,127.04,133.22,영화,"드라마,가족",행복의 나라,2.0
장희빈,4****************@naver.com,여,60세,1950년 11월,전라북도 태안군,T,2017-03-07,2021-01-21,135.55,139.94,영화,성인물(에로),마지막 중독,3.0
허난설헌,2******@gmail.com,여,10세,2010년 05월,대전광역시 중구,T,2018-11-01,2019-10-01,15.72,113.09,영화,드라마,연평해전,1.0
임꺽정,9****************@naver.com,남,70세,1940년 11월,제주특별자치도 이천시,T,2018-06-04,2020-11-14,109.79,163.87,영화,멜로/로맨스,친구의젊은엄마-무삭제,0.5
한석봉,v***************@naver.com,남,10세,2010년 02월,경기도 여주시,F,,2021-07-02,8.43,101.91,영화,멜로/로맨스,가슴 큰 앞집 소녀,4.0
장희빈,l*****@gmail.com,여,70세,1950년 03월,전라남도 진천군,F,,2018-12-28,18.04,119.82,영화,"멜로/로맨스,드라마",착한 유부녀들 무삭제,5.0
황진이,1********@daum.net,여,10세,2010년 04월,경상북도 부여군,F,,2018-01-22,8.15,129.07,영화,드라마,동주,3.5
임꺽정,k************@gmail.com,남,30세,1980년 02월,대전광역시 노원구,T,2017-05-17,2021-04-09,6.11,132.27,드라마,공포(호러),공포체험라디오 4DX,2.0
임꺽정,6*************@hotmail.com,남,70세,1940년 08월,울산광역시 북구,F,,2019-01-18,104.61,161.75,드라마,성인물(에로),19금 어린아내,3.0
성춘향,9****************@gmail.com,여,60세,1960년 01월,대구광역시 남구,T,2017-04-16,2019-02-23,95.17,107.41,드라마,코미디,"그래, 가족",4.0
홍길동,c******************@hotmail.com,남,50세,1960년 07월,서울특별시 관악구,F,,2018-07-29,29.53,110.0,영화,성인물(에로),여배우들: 섹스 오디션 무삭제,4.0
허난설헌,f***********@daum.net,여,60세,1960년 01월,충청남도 태안군,T,2021-09-03,2017-02-25,55.69,90.1,드라마,드라마,이웃집 여자 스토킹,2.0
신사임당,2***************@daum.net,여,60세,1950년 06월,인천광역시 관악구,F,,2020-08-30,102.29,118.28,영화,드라마,참외향기,1.5
이몽룡,0****@naver.com,남,30세,1980년 02월,경상남도 태안군,F,,2020-12-20,85.89,112.44,드라마,드라마,클래식,0.5
이몽룡,i********@hotmail.com,남,50세,1970년 04월,제주특별자치도 양구군,T,2020-03-24,2020-10-31,98.51,150.16,영화,멜로/로맨스,속궁합 잘 맞는 친구엄마,2.5
홍길동,q*************@gmail.com,남,40세,1970년 08월,강원도 과천시,T,2017-06-07,2021-08-31,126.57,174.6,영화,드라마,관계의 가나다에 있는 우리는,5.0
한석봉,9*****@gmail.com,남,70세,1950년 11월,인천광역시 송파구,T,2018-06-11,2021-01-24,42.33,108.97,드라마,애니메이션,극장판 헬로카봇: 옴파로스 섬의 비밀,1.0
신사임당,7************@naver.com,여,80세,1930년 11월,전라남도 시흥시,T,2020-03-10,2019-02-13,112.41,112.82,드라마,멜로/로맨스,탱고,4.5
성춘향,m***************@gmail.com,여,40세,1970년 09월,경상북도 의왕시,F,,2019-03-25,72.06,149.97,드라마,"코미디,가족",기묘한 가족,2.5
성춘향,y*********@naver.com,여,30세,1980년 02월,경상남도 고양시,F,,2020-01-10,14.77,113.05,영화,멜로/로맨스,첫사랑 열전,0.5
장길산,o***********@daum.net,남,70세,1940년 08월,경상북도 연천군,T,2017-09-20,2017-02-09,120.37,175.75,드라마,멜로/로맨스,동창회의 목적 3,2.0
신사임당,v*****************@daum.net,여,30세,1980년 06월,제주특별자치도 공주시,F,,2020-03-16,17.74,94.21,드라마,멜로/로맨스,처제의 꿈,2.5
임꺽정,_******@daum.net,남,60세,1950년 11월,울산광역시 노원구,F,,2017-03-29,90.14,101.11,영화,멜로/로맨스,친절한 며느리,5.0
장길산,7*****@hotmail.com,남,10세,2000년 02월,제주특별자치도 남양주시,T,2019-01-14,2017-04-12,101.67,122.83,영화,멜로/로맨스,젊은엄마5,0.5
한석봉,_***********@daum.net,남,70세,1940년 11월,서울특별시 노원구,F,,2017-11-13,116.03,174.86,드라마,멜로/로맨스,우즈벡 사돈처녀,1.5
